,state,x,y,full_name
0,AL,-86.79113,32.806671,Alabama
1,AZ,-111.431221,33.729759,Arizona
2,AR,-92.373123,34.969704,Arkansas
3,CA,-119.681564,36.116203,California
4,CO,-105.311104,39.059811,Colorado
5,CT,-72.755371,41.597782,Connecticut
6,DE,-75.507141,39.318523,Delaware
7,DC,-77.026817,38.897438,District of Columbia
8,FL,-81.686783,27.766279,Florida
9,GA,-83.643074,33.040619,Georgia
10,ID,-114.478828,44.240459,Idaho
11,IL,-88.986137,40.349457,Illinois
12,IN,-86.258278,39.849426,Indiana
13,IA,-93.210526,42.011539,Iowa
14,KS,-96.726486,38.5266,Kansas
15,KY,-84.670067,37.66814,Kentucky
16,LA,-91.867805,31.169546,Louisiana
17,ME,-69.381927,44.693947,Maine
18,MD,-76.802101,39.063946,Maryland
19,MA,-71.530106,42.230171,Massachusetts
20,MI,-84.536095,43.326618,Michigan
21,MN,-93.900192,45.694454,Minnesota
22,MS,-89.678696,32.741646,Mississippi
23,MO,-92.288368,38.456085,Missouri
24,MT,-110.454353,46.921925,Montana
25,NE,-98.268082,41.12537,Nebraska
26,NV,-117.055374,38.313515,Nevada
27,NH,-71.563896,43.452492,New Hampshire
28,NJ,-74.521011,40.298904,New Jersey
29,NM,-106.248482,34.840515,New Mexico
30,NY,-74.948051,42.165726,New York
31,NC,-79.806419,35.630066,North Carolina
32,ND,-99.784012,47.528912,North Dakota
33,OH,-82.764915,40.388783,Ohio
34,OK,-96.928917,35.565342,Oklahoma
35,OR,-122.070938,44.572021,Oregon
36,PA,-77.209755,40.590752,Pennsylvania
37,RI,-71.51178,41.680893,Rhode Island
38,SC,-80.945007,33.856892,South Carolina
39,SD,-99.438828,44.299782,South Dakota
40,TN,-86.692345,35.747845,Tennessee
41,TX,-97.563461,31.054487,Texas
42,UT,-111.862434,40.150032,Utah
43,VT,-72.710686,44.045876,Vermont
44,VA,-78.169968,37.769337,Virginia
45,WA,-121.490494,47.400902,Washington
46,WV,-80.954453,38.491226,West Virginia
47,WI,-89.616508,44.268543,Wisconsin
48,WY,-107.30249,42.755966,Wyoming
49,AK,,,Alaska
50,HI,,,Hawaii
